p_cross,p_mut,population_size,generations,crossover_method,mutation_method,selection_method,elitism,selection_approach,hv_mean,hv_std,spa_mean,spa_std,spr_mean,spr_std
0.8,0.01,100,1000,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,16720570.952353608,1225744.9253626545,71.66262135598993,13.186776796216868,6263.055416088102,833.40422926089
0.8,0.01,100,1000,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,16263505.646508079,1027412.1764611894,74.8499924811994,10.98670116454393,6292.844513120669,1107.3701961540526
0.8,0.01,100,1000,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,18072416.927629028,1238051.3506826889,66.57913856371485,13.223604233043025,6975.391682630938,1156.0481052477112
0.8,0.01,100,1000,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,17853150.2365314,1037954.132262033,76.86936030662606,10.175456512754074,7096.816355097757,1022.0884440424319
0.8,0.01,200,500,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,16703624.225299338,753313.3778505871,79.2109774410641,13.191255765535352,7540.459711345558,830.4448516507748
0.8,0.01,200,500,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,17465890.304646097,1006802.1807928595,70.85708771477441,11.765932935126429,6840.670575782356,897.0817634388987
0.8,0.01,200,500,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,19414319.87855975,1019366.7903178026,69.7937046379663,15.239174327328305,6956.440002732757,636.0213403247475
0.8,0.01,200,500,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,19341421.708153613,868060.6467552509,69.35907493041978,12.558738826256276,6903.939643987869,917.1361994815544
0.8,0.05,100,1000,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,12096270.816767516,998138.2401843941,109.23925741544728,29.547286194475188,5721.191432009604,451.74490850986035
0.8,0.05,100,1000,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,11893623.74388407,601350.9667832657,88.13549079314089,19.04143734007323,5781.729714939561,1029.0569912520668
0.8,0.05,100,1000,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,14372954.428661864,918996.1497467563,94.45994143782175,18.554166087059777,7004.28978665947,1018.3758495898468
0.8,0.05,100,1000,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,14217142.012882492,745534.2037169021,94.93636028000614,14.254734581165188,6888.805829915111,1272.4834309143093
0.8,0.05,200,500,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,12868082.502688004,725280.487308596,103.27162971579858,22.094620119745056,5882.155125328742,857.2646287474635
0.8,0.05,200,500,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,13024710.836902585,809054.5758644909,89.93338515100727,17.053931514115416,5866.104636453561,720.5005803350604
0.8,0.05,200,500,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,14607904.580908809,1094550.3025451961,84.11433833316475,15.364733244892642,6478.894033539983,782.9022884713694
0.8,0.05,200,500,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,14851043.542598987,717100.7817406305,91.61835337301278,14.142501767597759,6647.057889414697,964.8243102013163
0.9,0.01,100,1000,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,16523564.78473273,1029175.0081798575,66.89247582785495,9.152587950286053,6282.979472985318,1176.474133673435
0.9,0.01,100,1000,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,16081248.112018067,1048632.4078210974,75.23750363592339,12.283399948265895,6874.830477717444,832.0222495727027
0.9,0.01,100,1000,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,17063414.09798052,1092866.710286486,67.9472882841112,11.458561656771085,6968.73303865161,515.1031946994307
0.9,0.01,100,1000,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,16934093.152708285,1074586.8142688472,66.8441281684319,5.5845532438340575,6863.1768592059,749.867014546485
0.9,0.01,200,500,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,16602255.667971456,750292.8974921078,75.25659887022424,12.373737478803028,7233.2985018127265,939.3637674633275
